"Clave","mayor6_leer_esc","may5_asistencia","year","muniYear"
"14062",3303,NA,1995,"14062_1995"
"14063",66783,NA,1995,"14063_1995"
"14064",21218,NA,1995,"14064_1995"
"14065",13205,NA,1995,"14065_1995"
"14066",30867,NA,1995,"14066_1995"
"14067",126897,NA,1995,"14067_1995"
"14068",10193,NA,1995,"14068_1995"
"14069",9978,NA,1995,"14069_1995"
"14070",57592,NA,1995,"14070_1995"
"14071",3868,NA,1995,"14071_1995"
"14072",5402,NA,1995,"14072_1995"
"14073",45368,NA,1995,"14073_1995"
"14074",11615,NA,1995,"14074_1995"
"14075",3082,NA,1995,"14075_1995"
"14076",3344,NA,1995,"14076_1995"
"14077",23917,NA,1995,"14077_1995"
"14078",22991,NA,1995,"14078_1995"
"14079",10587,NA,1995,"14079_1995"
"14080",6016,NA,1995,"14080_1995"
"14081",3652,NA,1995,"14081_1995"
"14082",26483,NA,1995,"14082_1995"
"14083",43773,NA,1995,"14083_1995"
"14084",12113,NA,1995,"14084_1995"
"14085",35136,NA,1995,"14085_1995"
"14086",11644,NA,1995,"14086_1995"
"14087",15197,NA,1995,"14087_1995"
"14088",13828,NA,1995,"14088_1995"
"14089",2769,NA,1995,"14089_1995"
"14090",6199,NA,1995,"14090_1995"
"14091",32056,NA,1995,"14091_1995"
"14092",10675,NA,1995,"14092_1995"
"14093",92271,NA,1995,"14093_1995"
"14094",27493,NA,1995,"14094_1995"
"14095",7074,NA,1995,"14095_1995"
"14096",17026,NA,1995,"14096_1995"
"14097",84635,NA,1995,"14097_1995"
"14098",375643,NA,1995,"14098_1995"
"14099",7969,NA,1995,"14099_1995"
"14100",28653,NA,1995,"14100_1995"
"14101",223649,NA,1995,"14101_1995"
"14102",5879,NA,1995,"14102_1995"
"14103",6459,NA,1995,"14103_1995"
"14104",5467,NA,1995,"14104_1995"
"14105",17093,NA,1995,"14105_1995"
"14106",3553,NA,1995,"14106_1995"
"14107",4717,NA,1995,"14107_1995"
"14108",29132,NA,1995,"14108_1995"
"14109",12836,NA,1995,"14109_1995"
"14110",12721,NA,1995,"14110_1995"
"14111",4944,NA,1995,"14111_1995"
"14112",4961,NA,1995,"14112_1995"
"14113",12481,NA,1995,"14113_1995"
"14114",13964,NA,1995,"14114_1995"
"14115",5059,NA,1995,"14115_1995"
"14116",11642,NA,1995,"14116_1995"
"14117",4350,NA,1995,"14117_1995"
"14118",20654,NA,1995,"14118_1995"
"14119",22387,NA,1995,"14119_1995"
